Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_334.jpg,-7.524583,0,0,0,99.66999,85.58898,0.0002415582,66.39351,2.632893E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_401.jpg,-10.58616,0,0,0,99.66999,85.58898,0.0002407298,64.57894,3.293641E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_467.jpg,-13.50994,0,0,0,99.66999,85.58898,0.0002394295,62.32044,4.043806E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_533.jpg,-15,0,0,0,99.66999,85.58898,0.000236543,58.72047,4.865524E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_600.jpg,-15,0,0,0,99.66999,85.58898,0.0002335624,56.02048,5.356264E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_665.jpg,-15,0,0,0,99.66999,85.58898,0.0002320743,53.3205,5.663584E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_734.jpg,-15,0,0,0,99.66999,85.58899,0.0002308847,49.72053,5.790365E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_800.jpg,-11.95584,0,0,0,99.66999,85.58899,0.0002312344,47.47737,5.58489E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_865.jpg,-8.988096,0.1004877,0,0,99.67005,85.58897,0.0006822923,46.22393,-0.001412026
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_12_932.jpg,-6.021284,0.2982752,0,0,99.67092,85.58981,0.02643483,46.17229,-0.001862197
